"","CITY","COUNTY","PIN","YEAR","NUMSTUDS","WHITE","BLACK","DISTRICT","YEAR_LIFTED","region","DISMISSED","PRIVATE"
"852","BIRMINGHAM","SHELBY COUNTY","01926084","1993",361,358,3,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"853","BIRMINGHAM","SHELBY COUNTY","01926233","1995",788,774,13,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"854","BIRMINGHAM","SHELBY COUNTY","A0100229","2011",145,68,9,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"855","BIRMINGHAM","SHELBY COUNTY","00000339","2011",362,329,5,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"856","BIRMINGHAM","SHELBY COUNTY","01926084","2005",825,810,10,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"857","BIRMINGHAM","SHELBY COUNTY","01926233","2005",1850,1518,273,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"858","BIRMINGHAM","SHELBY COUNTY","A0770139","2009",356,349,4,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"859","BIRMINGHAM","SHELBY COUNTY","00000339","1999",399,396,0,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"860","BIRMINGHAM","SHELBY COUNTY","01926084","2011",588,578,5,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"861","BIRMINGHAM","SHELBY COUNTY","00000339","2001",454,437,3,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"862","BIRMINGHAM","SHELBY COUNTY","01926233","1997",877,862,7,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"863","BIRMINGHAM","SHELBY COUNTY","A0770139","2007",356,349,4,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"864","BIRMINGHAM","SHELBY COUNTY","01926084","1997",649,644,3,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"865","BIRMINGHAM","SHELBY COUNTY","01926233","2011",1881,1459,229,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"866","BIRMINGHAM","SHELBY COUNTY","01926084","1995",390,382,6,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"867","BIRMINGHAM","SHELBY COUNTY","01926084","2009",572,505,27,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"868","BIRMINGHAM","SHELBY COUNTY","01926233","2003",521,509,6,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"869","BIRMINGHAM","SHELBY COUNTY","A0100229","2001",165,8,129,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"870","BIRMINGHAM","SHELBY COUNTY","A0100384","2001",19,16,3,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"871","BLOUNTSVILLE","BLOUNT COUNTY","A0100302","2009",6,6,0,"BLOUNT COUNTY","2005","COUNTY",1,1
"872","BLOUNTSVILLE","BLOUNT COUNTY","A0100302","2007",8,8,0,"BLOUNT COUNTY","2005","COUNTY",1,1
"873","BLOUNTSVILLE","BLOUNT COUNTY","A0100302","2013",32,28,1,"BLOUNT COUNTY","2005","COUNTY",1,1
"874","BLOUNTSVILLE","BLOUNT COUNTY","A0100302","2001",10,10,0,"BLOUNT COUNTY","2005","COUNTY",1,1
"875","BLOUNTSVILLE","BLOUNT COUNTY","A0100302","2011",15,15,0,"BLOUNT COUNTY","2005","COUNTY",1,1
"876","BLOUNTSVILLE","BLOUNT COUNTY","A0100302","2003",66,45,1,"BLOUNT COUNTY","2005","COUNTY",1,1
"877","BLOUNTSVILLE","BLOUNT COUNTY","A0100302","2005",6,4,0,"BLOUNT COUNTY","2005","COUNTY",1,1
"878","BRANTLEY","CRENSHAW COUNTY","A0700010","2007",39,32,3,"CRENSHAW COUNTY","2006","COUNTY",1,1
"879","BRANTLEY","CRENSHAW COUNTY","A0700010","2009",31,29,2,"CRENSHAW COUNTY","2006","COUNTY",1,1
"880","BREWTON","ESCAMBIA COUNTY","00002369","1993",62,0,62,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"881","BREWTON","ESCAMBIA COUNTY","00002369","1995",76,21,51,"ESCAMBIA COUNTY","1977","COUNTY",1,1
"882","BROWNSBORO","MADISON COUNTY","00003271","1993",30,15,15,"MADISON COUNTY","STILL OPEN","COUNTY",0,1
"883","BRUNDIDGE","PIKE COUNTY","A0900075","2009",5,5,0,"PIKE COUNTY","2007","COUNTY",1,1
"884","BRYANT","JACKSON COUNTY","00003384","2003",32,32,0,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"885","BRYANT","JACKSON COUNTY","02000494","2005",55,53,1,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"886","BRYANT","JACKSON COUNTY","02000494","2007",75,63,1,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"887","BRYANT","JACKSON COUNTY","A0100289","2001",84,60,0,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"888","BRYANT","JACKSON COUNTY","02000494","2009",60,50,1,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"889","BRYANT","JACKSON COUNTY","02000494","2013",58,52,1,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"890","BRYANT","JACKSON COUNTY","00003384","1995",54,47,1,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"891","BRYANT","JACKSON COUNTY","00003384","1999",31,24,1,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"892","BRYANT","JACKSON COUNTY","02000494","2003",89,88,1,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"893","BRYANT","JACKSON COUNTY","00003384","2007",33,30,0,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"894","BRYANT","JACKSON COUNTY","00003384","2009",27,24,0,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"895","BRYANT","JACKSON COUNTY","02000494","1999",91,90,1,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"896","BRYANT","JACKSON COUNTY","00003384","1997",52,45,1,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"897","BRYANT","JACKSON COUNTY","00003384","2011",26,23,0,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"898","BRYANT","JACKSON COUNTY","00003384","2001",38,32,1,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"899","BRYANT","JACKSON COUNTY","00003384","2013",16,14,0,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"900","BRYANT","JACKSON COUNTY","02000494","1995",52,52,0,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"901","BRYANT","JACKSON COUNTY","00003384","2005",30,27,0,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"902","BRYANT","JACKSON COUNTY","02000494","2001",81,80,1,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"903","BRYANT","JACKSON COUNTY","00003384","1993",31,29,0,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"904","BRYANT","JACKSON COUNTY","02000494","2011",49,40,1,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"905","BRYANT","JACKSON COUNTY","02000494","1997",65,65,0,"JACKSON COUNTY","STILL OPEN","COUNTY",0,1
"906","BUTLER","CHOCTAW COUNTY","01925896","2011",250,246,0,"CHOCTAW COUNTY","STILL OPEN","COUNTY",0,1
"907","BUTLER","CHOCTAW COUNTY","01925896","2005",318,316,0,"CHOCTAW COUNTY","STILL OPEN","COUNTY",0,1
"908","BUTLER","CHOCTAW COUNTY","01925896","2001",362,359,0,"CHOCTAW COUNTY","STILL OPEN","COUNTY",0,1
"909","BUTLER","CHOCTAW COUNTY","01925896","1999",350,348,0,"CHOCTAW COUNTY","STILL OPEN","COUNTY",0,1
"910","BUTLER","CHOCTAW COUNTY","01925896","1995",360,357,0,"CHOCTAW COUNTY","STILL OPEN","COUNTY",0,1
"911","BUTLER","CHOCTAW COUNTY","01925896","2013",259,129,0,"CHOCTAW COUNTY","STILL OPEN","COUNTY",0,1
"912","BUTLER","CHOCTAW COUNTY","01925896","1997",339,337,0,"CHOCTAW COUNTY","STILL OPEN","COUNTY",0,1
"913","BUTLER","CHOCTAW COUNTY","01925896","1993",280,278,0,"CHOCTAW COUNTY","STILL OPEN","COUNTY",0,1
"914","BUTLER","CHOCTAW COUNTY","01925896","2007",280,278,0,"CHOCTAW COUNTY","STILL OPEN","COUNTY",0,1
"915","BUTLER","CHOCTAW COUNTY","01925896","2003",348,346,0,"CHOCTAW COUNTY","STILL OPEN","COUNTY",0,1
"916","BUTLER","CHOCTAW COUNTY","01925896","2009",257,254,0,"CHOCTAW COUNTY","STILL OPEN","COUNTY",0,1
"917","CALERA","SHELBY COUNTY","02001228","1999",54,52,2,"SHELBY COUNTY","STILL OPEN","COUNTY",0,1
"918","CALERA","SHELBY COUNTY","02001228","1997",49,47,2,"SHELBY COUNTY","STILL OPEN","COUNTY",0,1
"919","CALERA","SHELBY COUNTY","02001228","2005",16,14,2,"SHELBY COUNTY","STILL OPEN","COUNTY",0,1
"920","CALERA","SHELBY COUNTY","02001228","1993",28,28,0,"SHELBY COUNTY","STILL OPEN","COUNTY",0,1
"921","CALERA","SHELBY COUNTY","02001228","2007",59,55,3,"SHELBY COUNTY","STILL OPEN","COUNTY",0,1
"922","CALERA","SHELBY COUNTY","02001228","2001",25,22,3,"SHELBY COUNTY","STILL OPEN","COUNTY",0,1
"923","CALERA","SHELBY COUNTY","02001228","1995",96,92,3,"SHELBY COUNTY","STILL OPEN","COUNTY",0,1
"924","CALERA","SHELBY COUNTY","02001228","2003",25,23,2,"SHELBY COUNTY","STILL OPEN","COUNTY",0,1
"925","CAMDEN","WILCOX COUNTY","01925943","1997",341,341,0,"WILCOX COUNTY","1979","COUNTY",1,1
"926","CAMDEN","WILCOX COUNTY","01925943","1993",372,370,0,"WILCOX COUNTY","1979","COUNTY",1,1
"927","CAMDEN","WILCOX COUNTY","01925943","1995",374,374,0,"WILCOX COUNTY","1979","COUNTY",1,1
"928","CAMDEN","WILCOX COUNTY","01925943","2001",345,341,0,"WILCOX COUNTY","1979","COUNTY",1,1
"929","CAMDEN","WILCOX COUNTY","01925943","2013",268,268,0,"WILCOX COUNTY","1979","COUNTY",1,1
"930","CAMDEN","WILCOX COUNTY","01925943","1999",396,393,0,"WILCOX COUNTY","1979","COUNTY",1,1
"931","CAMDEN","WILCOX COUNTY","01925943","2011",278,276,1,"WILCOX COUNTY","1979","COUNTY",1,1
"932","CAMDEN","WILCOX COUNTY","01925943","2007",291,289,0,"WILCOX COUNTY","1979","COUNTY",1,1
"933","CAMDEN","WILCOX COUNTY","01925943","2005",321,319,0,"WILCOX COUNTY","1979","COUNTY",1,1
"934","CAMDEN","WILCOX COUNTY","01925943","2003",321,319,0,"WILCOX COUNTY","1979","COUNTY",1,1
"935","CAMDEN","WILCOX COUNTY","01925943","2009",301,301,0,"WILCOX COUNTY","1979","COUNTY",1,1
"936","CAMP HILL","TALLAPOOSA COUNTY","00002154","1997",190,157,10,"TALLAPOOSA COUNTY","2004","COUNTY",1,1
"937","CAMP HILL","TALLAPOOSA COUNTY","00002154","2003",145,100,25,"TALLAPOOSA COUNTY","2004","COUNTY",1,1
"938","CAMP HILL","TALLAPOOSA COUNTY","00002154","1999",189,160,19,"TALLAPOOSA COUNTY","2004","COUNTY",1,1
"939","CAMP HILL","TALLAPOOSA COUNTY","00002154","2001",169,129,18,"TALLAPOOSA COUNTY","2004","COUNTY",1,1
"940","CAMP HILL","TALLAPOOSA COUNTY","00002154","1993",217,193,7,"TALLAPOOSA COUNTY","2004","COUNTY",1,1
"941","CAMP HILL","TALLAPOOSA COUNTY","00002154","2005",76,64,6,"TALLAPOOSA COUNTY","2004","COUNTY",1,1
"942","CAMP HILL","TALLAPOOSA COUNTY","00002154","2007",59,52,5,"TALLAPOOSA COUNTY","2004","COUNTY",1,1
"943","CAMP HILL","TALLAPOOSA COUNTY","00002154","2009",103,85,7,"TALLAPOOSA COUNTY","2004","COUNTY",1,1
"944","CAMP HILL","TALLAPOOSA COUNTY","00002154","1995",197,177,8,"TALLAPOOSA COUNTY","2004","COUNTY",1,1
"945","CAMP HILL","TALLAPOOSA COUNTY","00002154","2013",111,90,14,"TALLAPOOSA COUNTY","2004","COUNTY",1,1
"946","CARROLLTON","PICKENS COUNTY","00002278","2003",376,376,0,"PICKENS COUNTY","STILL OPEN","COUNTY",0,1
"947","CARROLLTON","PICKENS COUNTY","00002278","2009",143,143,0,"PICKENS COUNTY","STILL OPEN","COUNTY",0,1
"948","CARROLLTON","PICKENS COUNTY","00002278","1995",360,359,0,"PICKENS COUNTY","STILL OPEN","COUNTY",0,1
"949","CARROLLTON","PICKENS COUNTY","00002278","1997",355,355,0,"PICKENS COUNTY","STILL OPEN","COUNTY",0,1
"950","CARROLLTON","PICKENS COUNTY","00002278","2007",300,300,0,"PICKENS COUNTY","STILL OPEN","COUNTY",0,1
"951","CARROLLTON","PICKENS COUNTY","00002278","2001",341,341,0,"PICKENS COUNTY","STILL OPEN","COUNTY",0,1
"952","CARROLLTON","PICKENS COUNTY","00002278","2011",246,246,0,"PICKENS COUNTY","STILL OPEN","COUNTY",0,1
"953","CARROLLTON","PICKENS COUNTY","00002278","2005",347,347,0,"PICKENS COUNTY","STILL OPEN","COUNTY",0,1
"954","CARROLLTON","PICKENS COUNTY","00002278","1999",342,342,0,"PICKENS COUNTY","STILL OPEN","COUNTY",0,1
"955","CARROLLTON","PICKENS COUNTY","00002278","2013",263,262,1,"PICKENS COUNTY","STILL OPEN","COUNTY",0,1
"956","CARROLLTON","PICKENS COUNTY","00002278","1993",335,334,0,"PICKENS COUNTY","STILL OPEN","COUNTY",0,1
"957","CATHERINE","WILCOX COUNTY","00002595","1995",147,147,0,"WILCOX COUNTY","1979","COUNTY",1,1
"958","CATHERINE","WILCOX COUNTY","00002595","1999",95,95,0,"WILCOX COUNTY","1979","COUNTY",1,1
"959","CATHERINE","WILCOX COUNTY","00002595","1997",168,168,0,"WILCOX COUNTY","1979","COUNTY",1,1
"960","CATHERINE","WILCOX COUNTY","00002595","1993",188,188,0,"WILCOX COUNTY","1979","COUNTY",1,1
"961","CECIL","MONTGOMERY COUNTY","00002835","2013",307,279,9,"MONTGOMERY COUNTY","1993","COUNTY",1,1
"962","CECIL","MONTGOMERY COUNTY","00002835","2011",387,357,10,"MONTGOMERY COUNTY","1993","COUNTY",1,1
"963","CECIL","MONTGOMERY COUNTY","00002835","1995",162,162,0,"MONTGOMERY COUNTY","1993","COUNTY",1,1
"964","CECIL","MONTGOMERY COUNTY","00002835","2001",463,462,0,"MONTGOMERY COUNTY","1993","COUNTY",1,1
"965","CECIL","MONTGOMERY COUNTY","00002835","1997",489,488,0,"MONTGOMERY COUNTY","1993","COUNTY",1,1
"966","CECIL","MONTGOMERY COUNTY","00002835","1999",456,455,0,"MONTGOMERY COUNTY","1993","COUNTY",1,1
"967","CECIL","MONTGOMERY COUNTY","00002835","2009",409,397,2,"MONTGOMERY COUNTY","1993","COUNTY",1,1
"968","CECIL","MONTGOMERY COUNTY","00002835","2005",504,495,2,"MONTGOMERY COUNTY","1993","COUNTY",1,1
"969","CECIL","MONTGOMERY COUNTY","00002835","2007",501,489,2,"MONTGOMERY COUNTY","1993","COUNTY",1,1
"970","CECIL","MONTGOMERY COUNTY","00002835","2003",501,498,0,"MONTGOMERY COUNTY","1993","COUNTY",1,1
"971","CENTER POINT","JEFFERSON COUNTY","BB100048","2009",15,2,8,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"972","CENTER POINT","JEFFERSON COUNTY","BB100047","2009",74,38,27,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"973","CENTER POINT","JEFFERSON COUNTY","A1150005","2013",7,0,7,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"974","CENTER POINT","JEFFERSON COUNTY","A1150005","2011",6,0,3,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"975","CENTER POINT","JEFFERSON COUNTY","00002609","2011",4,1,2,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"976","CENTREVILLE","BIBB COUNTY","00001536","2011",138,117,15,"BIBB COUNTY","2007","COUNTY",1,1
"977","CENTREVILLE","BIBB COUNTY","00001536","1995",35,34,0,"BIBB COUNTY","2007","COUNTY",1,1
"978","CENTREVILLE","BIBB COUNTY","00001536","1999",152,146,2,"BIBB COUNTY","2007","COUNTY",1,1
"979","CENTREVILLE","BIBB COUNTY","00001536","1997",71,69,1,"BIBB COUNTY","2007","COUNTY",1,1
"980","CENTREVILLE","BIBB COUNTY","00001536","2003",64,56,0,"BIBB COUNTY","2007","COUNTY",1,1
"981","CENTREVILLE","BIBB COUNTY","00001536","2007",57,49,7,"BIBB COUNTY","2007","COUNTY",1,1
"982","CENTREVILLE","BIBB COUNTY","00001536","2009",84,69,12,"BIBB COUNTY","2007","COUNTY",1,1
"983","CENTREVILLE","BIBB COUNTY","00001536","1993",20,20,0,"BIBB COUNTY","2007","COUNTY",1,1
"984","CENTREVILLE","BIBB COUNTY","00001536","2005",68,61,5,"BIBB COUNTY","2007","COUNTY",1,1
"985","CENTREVILLE","BIBB COUNTY","00001536","2001",66,62,1,"BIBB COUNTY","2007","COUNTY",1,1
"986","CENTREVILLE","BIBB COUNTY","00001536","2013",129,105,20,"BIBB COUNTY","2007","COUNTY",1,1
"987","CHICKASAW","MOBILE COUNTY","A0100433","2013",12,0,12,"MOBILE COUNTY","1997","COUNTY",1,1
"988","CHICKASAW","MOBILE COUNTY","A0100433","2001",83,0,83,"MOBILE COUNTY","1997","COUNTY",1,1
"989","CHICKASAW","MOBILE COUNTY","A0100433","2007",12,0,12,"MOBILE COUNTY","1997","COUNTY",1,1
"990","CHICKASAW","MOBILE COUNTY","A0100437","2001",27,0,27,"MOBILE COUNTY","1997","COUNTY",1,1
"991","CHICKASAW","MOBILE COUNTY","A0100433","2005",23,0,23,"MOBILE COUNTY","1997","COUNTY",1,1
"992","CHICKASAW","MOBILE COUNTY","A0100433","2009",16,0,14,"MOBILE COUNTY","1997","COUNTY",1,1
"993","CHICKASAW","MOBILE COUNTY","A0100433","2003",29,0,29,"MOBILE COUNTY","1997","COUNTY",1,1
"994","CHICKASAW","MOBILE COUNTY","A0100433","2011",13,0,13,"MOBILE COUNTY","1997","COUNTY",1,1
"995","CHILDERSBURG","TALLADEGA COUNTY","A0100180","2001",31,29,2,"TALLADEGA COUNTY","1985","COUNTY",1,1
"996","CITRONELLE","MOBILE COUNTY","00002799","2011",92,75,4,"MOBILE COUNTY","1997","COUNTY",1,1
"997","CITRONELLE","MOBILE COUNTY","00002799","1995",41,32,0,"MOBILE COUNTY","1997","COUNTY",1,1
"998","CITRONELLE","MOBILE COUNTY","00002799","2007",95,95,0,"MOBILE COUNTY","1997","COUNTY",1,1
"999","CITRONELLE","MOBILE COUNTY","00002799","2003",99,66,0,"MOBILE COUNTY","1997","COUNTY",1,1
"1000","CITRONELLE","MOBILE COUNTY","00002799","1993",72,67,1,"MOBILE COUNTY","1997","COUNTY",1,1
"1001","CITRONELLE","MOBILE COUNTY","00002799","1997",42,38,0,"MOBILE COUNTY","1997","COUNTY",1,1
"1002","CITRONELLE","MOBILE COUNTY","00002799","1999",33,30,0,"MOBILE COUNTY","1997","COUNTY",1,1
"1003","CITRONELLE","MOBILE COUNTY","00002799","2001",84,68,0,"MOBILE COUNTY","1997","COUNTY",1,1
"1004","CITRONELLE","MOBILE COUNTY","00002799","2009",97,88,2,"MOBILE COUNTY","1997","COUNTY",1,1
"1005","CITRONELLE","MOBILE COUNTY","00002799","2013",84,72,0,"MOBILE COUNTY","1997","COUNTY",1,1
"1006","CITRONELLE","MOBILE COUNTY","00002799","2005",27,24,0,"MOBILE COUNTY","1997","COUNTY",1,1
"1007","CLANTON","CHILTON COUNTY","02000304","2003",8,7,1,"CHILTON COUNTY","2002","COUNTY",1,1
"1008","CLANTON","CHILTON COUNTY","02000304","2001",17,15,2,"CHILTON COUNTY","2002","COUNTY",1,1
"1009","CLANTON","CHILTON COUNTY","02000304","1995",13,13,0,"CHILTON COUNTY","2002","COUNTY",1,1
"1010","CLANTON","CHILTON COUNTY","A0700008","2007",43,39,2,"CHILTON COUNTY","2002","COUNTY",1,1
"1011","CLANTON","CHILTON COUNTY","02000304","1993",22,17,2,"CHILTON COUNTY","2002","COUNTY",1,1
"1012","CLANTON","CHILTON COUNTY","02000304","1997",18,9,7,"CHILTON COUNTY","2002","COUNTY",1,1
"1013","CLANTON","CHILTON COUNTY","02000304","1999",19,16,2,"CHILTON COUNTY","2002","COUNTY",1,1
"1014","CLAY","JEFFERSON COUNTY","A0100087","2009",8,8,0,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"1015","CLAY","JEFFERSON COUNTY","A0100087","2011",8,8,0,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"1016","CLAY","JEFFERSON COUNTY","A0100087","2003",10,10,0,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"1017","CLAY","JEFFERSON COUNTY","A0100087","2001",56,50,3,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"1018","CLAY","JEFFERSON COUNTY","A0100087","2007",8,8,0,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"1019","CLINTON","GREENE COUNTY","A0300028","2009",10,1,7,"GREENE COUNTY","2003","COUNTY",1,1
"1020","CLINTON","GREENE COUNTY","A0300028","2003",10,4,6,"GREENE COUNTY","2003","COUNTY",1,1
"1021","CLINTON","GREENE COUNTY","A0300028","2011",3,0,3,"GREENE COUNTY","2003","COUNTY",1,1
"1022","CLINTON","GREENE COUNTY","A0300028","2007",18,5,12,"GREENE COUNTY","2003","COUNTY",1,1
"1023","CLINTON","GREENE COUNTY","A0300028","2005",32,13,19,"GREENE COUNTY","2003","COUNTY",1,1
"1024","CLINTON","GREENE COUNTY","A0300028","2013",5,0,5,"GREENE COUNTY","2003","COUNTY",1,1
"1025","COFFEE SPRINGS","GENEVA COUNTY","A0300017","2003",18,17,1,"GENEVA COUNTY","2002","COUNTY",1,1
"1026","COFFEE SPRINGS","GENEVA COUNTY","A0300017","2005",26,25,1,"GENEVA COUNTY","2002","COUNTY",1,1
"1027","COFFEE SPRINGS","GENEVA COUNTY","A0300017","2007",32,31,1,"GENEVA COUNTY","2002","COUNTY",1,1
"1028","COLUMBIANA","SHELBY COUNTY","A9900015","2003",212,206,3,"SHELBY COUNTY","STILL OPEN","COUNTY",0,1
"1029","COLUMBIANA","SHELBY COUNTY","A9900015","2011",149,145,4,"SHELBY COUNTY","STILL OPEN","COUNTY",0,1
"1030","COLUMBIANA","SHELBY COUNTY","A9900015","2005",195,190,4,"SHELBY COUNTY","STILL OPEN","COUNTY",0,1
"1031","COLUMBIANA","SHELBY COUNTY","A9900015","1999",198,196,1,"SHELBY COUNTY","STILL OPEN","COUNTY",0,1
"1032","COLUMBIANA","SHELBY COUNTY","A9900015","2007",228,223,4,"SHELBY COUNTY","STILL OPEN","COUNTY",0,1
"1033","COLUMBIANA","SHELBY COUNTY","A9900015","2013",169,153,11,"SHELBY COUNTY","STILL OPEN","COUNTY",0,1
"1034","COLUMBIANA","SHELBY COUNTY","A9900015","2009",227,216,4,"SHELBY COUNTY","STILL OPEN","COUNTY",0,1
"1035","COLUMBIANA","SHELBY COUNTY","A9900015","2001",188,183,1,"SHELBY COUNTY","STILL OPEN","COUNTY",0,1
"1036","CONCORD","JEFFERSON COUNTY","A0500009","2007",183,180,3,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"1037","CONCORD","JEFFERSON COUNTY","A0500009","2005",153,91,62,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"1038","COTTONDALE","TUSCALOOSA COUNTY","01642488","2007",322,317,4,"TUSCALOOSA COUNTY","STILL OPEN","COUNTY",0,1
"1039","COTTONDALE","TUSCALOOSA COUNTY","01642488","2013",334,322,6,"TUSCALOOSA COUNTY","STILL OPEN","COUNTY",0,1
"1040","COTTONDALE","TUSCALOOSA COUNTY","01642488","2011",271,257,8,"TUSCALOOSA COUNTY","STILL OPEN","COUNTY",0,1
"1041","COTTONDALE","TUSCALOOSA COUNTY","01642488","2005",297,293,3,"TUSCALOOSA COUNTY","STILL OPEN","COUNTY",0,1
"1042","COTTONDALE","TUSCALOOSA COUNTY","01642488","1993",234,232,2,"TUSCALOOSA COUNTY","STILL OPEN","COUNTY",0,1
"1043","COTTONDALE","TUSCALOOSA COUNTY","01642488","2001",282,278,3,"TUSCALOOSA COUNTY","STILL OPEN","COUNTY",0,1
"1044","COTTONDALE","TUSCALOOSA COUNTY","01642488","1997",248,246,2,"TUSCALOOSA COUNTY","STILL OPEN","COUNTY",0,1
"1045","COTTONDALE","TUSCALOOSA COUNTY","01642488","2009",293,284,6,"TUSCALOOSA COUNTY","STILL OPEN","COUNTY",0,1
"1046","COTTONDALE","TUSCALOOSA COUNTY","01642488","2003",267,262,3,"TUSCALOOSA COUNTY","STILL OPEN","COUNTY",0,1
"1047","COTTONDALE","TUSCALOOSA COUNTY","01642488","1999",247,245,2,"TUSCALOOSA COUNTY","STILL OPEN","COUNTY",0,1
"1048","COTTONDALE","TUSCALOOSA COUNTY","01642488","1995",255,250,4,"TUSCALOOSA COUNTY","STILL OPEN","COUNTY",0,1
"1049","COURTLAND","LAWRENCE COUNTY","A9302028","1993",39,28,9,"LAWRENCE COUNTY","STILL OPEN","COUNTY",0,1
"1050","COURTLAND","LAWRENCE COUNTY","A9302028","1997",34,24,10,"LAWRENCE COUNTY","STILL OPEN","COUNTY",0,1
"1051","COURTLAND","LAWRENCE COUNTY","A9302028","2007",40,26,13,"LAWRENCE COUNTY","STILL OPEN","COUNTY",0,1
"1052","COURTLAND","LAWRENCE COUNTY","A9302028","2003",32,22,9,"LAWRENCE COUNTY","STILL OPEN","COUNTY",0,1
"1053","COURTLAND","LAWRENCE COUNTY","A9302028","1999",30,24,6,"LAWRENCE COUNTY","STILL OPEN","COUNTY",0,1
"1054","COURTLAND","LAWRENCE COUNTY","A9302028","2001",36,24,11,"LAWRENCE COUNTY","STILL OPEN","COUNTY",0,1
"1055","COURTLAND","LAWRENCE COUNTY","A9302028","1995",34,23,11,"LAWRENCE COUNTY","STILL OPEN","COUNTY",0,1
"1056","COURTLAND","LAWRENCE COUNTY","A9302028","2005",38,31,6,"LAWRENCE COUNTY","STILL OPEN","COUNTY",0,1
"1057","CRAGFORD","CLAY COUNTY","A0500025","2005",130,127,3,"CLAY COUNTY","STILL OPEN","COUNTY",0,1
"1058","CREOLA","MOBILE COUNTY","BB942430","1993",65,55,10,"MOBILE COUNTY","1997","COUNTY",1,1
"1059","CROPWELL","ST. CLAIR COUNTY","A0100293","2001",9,9,0,"ST. CLAIR COUNTY","STILL OPEN","COUNTY",0,1
"1060","CROSSVILLE","DEKALB COUNTY","A9900003","2007",30,29,0,"DEKALB COUNTY","2006","COUNTY",1,1
"1061","CROSSVILLE","DEKALB COUNTY","A9900003","2011",39,38,0,"DEKALB COUNTY","2006","COUNTY",1,1
"1062","CROSSVILLE","DEKALB COUNTY","A9900003","2013",45,44,0,"DEKALB COUNTY","2006","COUNTY",1,1
"1063","CROSSVILLE","DEKALB COUNTY","A9900003","1999",86,82,0,"DEKALB COUNTY","2006","COUNTY",1,1
"1064","CROSSVILLE","DEKALB COUNTY","A9900003","2003",54,51,0,"DEKALB COUNTY","2006","COUNTY",1,1
"1065","CROSSVILLE","DEKALB COUNTY","A9900003","2009",24,23,0,"DEKALB COUNTY","2006","COUNTY",1,1
"1066","CROSSVILLE","DEKALB COUNTY","A9900003","2005",28,27,0,"DEKALB COUNTY","2006","COUNTY",1,1
