"","PIN","DISTRICT","YEAR","COUNTY","CITY","NUMSTUDS","WHITE","BLACK","YEAR_LIFTED","DISMISSED","region","PRIVATE"
"2664","4.95399709991165e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","DAPHNE",1193,953,233,"1977",1,"COUNTY",0
"2681","4.953997125109e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","BAY MINETTE",1265,915,341,"1977",1,"COUNTY",0
"2693","4.95399711226329e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","FOLEY",1391,1193,182,"1977",1,"COUNTY",0
"2702","4.95399707570243e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","FAIRHOPE",510,425,80,"1977",1,"COUNTY",0
"2703","4.9539970761965e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","FAIRHOPE",520,409,104,"1977",1,"COUNTY",0
"2704","4.95399707669056e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","FOLEY",807,551,242,"1977",1,"COUNTY",0
"2705","4.95399711176923e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","BAY MINETTE",294,230,64,"1977",1,"COUNTY",0
"2720","4.95399707817276e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","BAY MINETTE",333,200,133,"1977",1,"COUNTY",0
"2729","4.95399626345851e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","SILVERHILL",315,282,31,"1977",1,"COUNTY",0
"2732","4.95399707866683e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","ROBERTSDALE",576,553,19,"1977",1,"COUNTY",0
"2740","4.95399707422024e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","BAY MINETTE",487,295,189,"1977",1,"COUNTY",0
"2742","4.95399707520837e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","DAPHNE",610,423,181,"1977",1,"COUNTY",0
"2746","4.95399626444664e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","STAPLETON",127,121,5,"1977",1,"COUNTY",0
"2748","4.9539970776787e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","LOXLEY",332,243,84,"1977",1,"COUNTY",0
"2753","4.95399626049412e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","FOLEY",671,498,163,"1977",1,"COUNTY",0
"2754","4.95399626148225e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","PERDIDO",440,416,18,"1977",1,"COUNTY",0
"2755","4.95399626296445e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","ROBERTSDALE",157,155,0,"1977",1,"COUNTY",0
"2758","4.95399626395258e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","SPANISH FORT",643,579,61,"1977",1,"COUNTY",0
"2760","4.95399707718463e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","FOLEY",373,254,116,"1977",1,"COUNTY",0
"2768","4.9539970747143e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","BAY MINETTE",614,398,215,"1977",1,"COUNTY",0
"2775","4.95399626494071e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","SUMMERDALE",251,241,6,"1977",1,"COUNTY",0
"2777","4.95399628025674e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","FAIRHOPE",1002,829,166,"1977",1,"COUNTY",0
"2778","4.95399631088881e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","ROBERTSDALE",855,782,66,"1977",1,"COUNTY",0
"2780","4.95399696058514e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","GULF SHORES",418,413,1,"1977",1,"COUNTY",0
"2788","4.95399631286508e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","FAIRHOPE",527,425,98,"1977",1,"COUNTY",0
"2789","4.95399626543477e-314","BALDWIN COUNTY","1995","BALDWIN COUNTY","BON SECOUR",135,126,0,"1977",1,"COUNTY",0
"2896","4.95547846583076e-314","BARBOUR COUNTY","1995","BARBOUR COUNTY","EUFAULA",151,0,149,"2013",1,"COUNTY",0
"2897","4.95547915801673e-314","BARBOUR COUNTY","1995","BARBOUR COUNTY","CLAYTON",284,0,284,"2013",1,"COUNTY",0
"2898","4.95547923854943e-314","BARBOUR COUNTY","1995","BARBOUR COUNTY","LOUISVILLE",302,84,218,"2013",1,"COUNTY",0
"2904","4.95547846434856e-314","BARBOUR COUNTY","1995","BARBOUR COUNTY","CLAYTON",361,0,361,"2013",1,"COUNTY",0
"2908","4.95547846533669e-314","BARBOUR COUNTY","1995","BARBOUR COUNTY","LOUISVILLE",391,110,281,"2013",1,"COUNTY",0
"13610","5.01031996694363e-314","EUFAULA CITY","1995","BARBOUR COUNTY","EUFAULA",830,445,380,"2003",1,"CITY",0
"13611","5.01031996793176e-314","EUFAULA CITY","1995","BARBOUR COUNTY","EUFAULA",756,388,363,"2003",1,"CITY",0
"13636","5.01031996644956e-314","EUFAULA CITY","1995","BARBOUR COUNTY","EUFAULA",564,281,281,"2003",1,"CITY",0
"13639","5.01031996842582e-314","EUFAULA CITY","1995","BARBOUR COUNTY","EUFAULA",438,221,214,"2003",1,"CITY",0
"13652","5.01032046051521e-314","EUFAULA CITY","1995","BARBOUR COUNTY","EUFAULA",478,235,240,"2003",1,"CITY",0
"3259","4.95844287057525e-314","BIBB COUNTY","1995","BIBB COUNTY","WEST BLOCTON",592,492,97,"2007",1,"COUNTY",0
"3260","4.95844355287991e-314","BIBB COUNTY","1995","BIBB COUNTY","WOODSTOCK",405,398,4,"2007",1,"COUNTY",0
"3261","4.95844363291854e-314","BIBB COUNTY","1995","BIBB COUNTY","WEST BLOCTON",26,20,6,"2007",1,"COUNTY",0
"3339","4.95844287008118e-314","BIBB COUNTY","1995","BIBB COUNTY","WEST BLOCTON",372,308,64,"2007",1,"COUNTY",0
"3367","4.95844286909305e-314","BIBB COUNTY","1995","BIBB COUNTY","RANDOLPH",219,169,50,"2007",1,"COUNTY",0
"3376","4.95844286859899e-314","BIBB COUNTY","1995","BIBB COUNTY","CENTREVILLE",625,347,278,"2007",1,"COUNTY",0
"3389","4.95844286810492e-314","BIBB COUNTY","1995","BIBB COUNTY","BRENT",441,246,195,"2007",1,"COUNTY",0
"3398","4.95844286711679e-314","BIBB COUNTY","1995","BIBB COUNTY","CENTREVILLE",976,627,349,"2007",1,"COUNTY",0
"5716","4.96140731780939e-314","BLOUNT COUNTY","1995","BLOUNT COUNTY","HAYDEN",675,669,6,"2005",1,"COUNTY",0
"5724","4.96140726543843e-314","BLOUNT COUNTY","1995","BLOUNT COUNTY","HAYDEN",384,375,8,"2005",1,"COUNTY",0
"5725","4.96140731583312e-314","BLOUNT COUNTY","1995","BLOUNT COUNTY","ONEONTA",531,516,0,"2005",1,"COUNTY",0
"5741","4.96140731731532e-314","BLOUNT COUNTY","1995","BLOUNT COUNTY","CLEVELAND",796,757,0,"2005",1,"COUNTY",0
"5753","4.96140731682126e-314","BLOUNT COUNTY","1995","BLOUNT COUNTY","BLOUNTSVILLE",629,597,0,"2005",1,"COUNTY",0
"5867","4.96140731879752e-314","BLOUNT COUNTY","1995","BLOUNT COUNTY","BLOUNTSVILLE",520,512,0,"2005",1,"COUNTY",0
"5879","4.96140731830345e-314","BLOUNT COUNTY","1995","BLOUNT COUNTY","HAYDEN",570,560,10,"2005",1,"COUNTY",0
"5881","4.96140731929158e-314","BLOUNT COUNTY","1995","BLOUNT COUNTY","LOCUST FORK",1057,1049,0,"2005",1,"COUNTY",0
"5924","4.96140731978565e-314","BLOUNT COUNTY","1995","BLOUNT COUNTY","REMLAP",270,227,1,"2005",1,"COUNTY",0
"5938","4.96140732077378e-314","BLOUNT COUNTY","1995","BLOUNT COUNTY","BLOUNTSVILLE",1025,967,0,"2005",1,"COUNTY",0
"28866","5.06664372378783e-314","ONEONTA CITY","1995","BLOUNT COUNTY","ONEONTA",1165,1038,91,"2005",1,"CITY",0
"6208","4.96437171711916e-314","BULLOCK COUNTY","1995","BULLOCK COUNTY","UNION SPRINGS",806,1,805,"1999",1,"COUNTY",0
"6209","4.96437171810729e-314","BULLOCK COUNTY","1995","BULLOCK COUNTY","MIDWAY",233,1,232,"1999",1,"COUNTY",0
"6210","4.96437171860135e-314","BULLOCK COUNTY","1995","BULLOCK COUNTY","UNION SPRINGS",532,3,529,"1999",1,"COUNTY",0
"6220","4.96437171909542e-314","BULLOCK COUNTY","1995","BULLOCK COUNTY","UNION SPRINGS",418,1,417,"1999",1,"COUNTY",0
"6330","4.96585391998547e-314","BUTLER COUNTY","1995","BUTLER COUNTY","GEORGIANA",386,158,228,"2002",1,"COUNTY",0
"6331","4.96585392047953e-314","BUTLER COUNTY","1995","BUTLER COUNTY","GREENVILLE",1127,412,715,"2002",1,"COUNTY",0
"6340","4.96585391751514e-314","BUTLER COUNTY","1995","BUTLER COUNTY","GEORGIANA",475,212,263,"2002",1,"COUNTY",0
"6341","4.9658539180092e-314","BUTLER COUNTY","1995","BUTLER COUNTY","GREENVILLE",850,302,545,"2002",1,"COUNTY",0
"6342","4.96585391899734e-314","BUTLER COUNTY","1995","BUTLER COUNTY","GREENVILLE",973,332,638,"2002",1,"COUNTY",0
"635","4.94510305960042e-314","ANNISTON CITY","1995","CALHOUN COUNTY","ANNISTON",194,77,109,"STILL OPEN",0,"CITY",0
"642","4.94510392965002e-314","ANNISTON CITY","1995","CALHOUN COUNTY","ANNISTON",339,26,307,"STILL OPEN",0,"CITY",0
"655","4.94510390148828e-314","ANNISTON CITY","1995","CALHOUN COUNTY","ANNISTON",811,76,725,"STILL OPEN",0,"CITY",0
"660","4.94510305762415e-314","ANNISTON CITY","1995","CALHOUN COUNTY","ANNISTON",258,215,38,"STILL OPEN",0,"CITY",0
"661","4.94510305811822e-314","ANNISTON CITY","1995","CALHOUN COUNTY","ANNISTON",349,26,321,"STILL OPEN",0,"CITY",0
"662","4.94510305861228e-314","ANNISTON CITY","1995","CALHOUN COUNTY","ANNISTON",268,15,252,"STILL OPEN",0,"CITY",0
"663","4.94510305663602e-314","ANNISTON CITY","1995","CALHOUN COUNTY","ANNISTON",222,28,193,"STILL OPEN",0,"CITY",0
"676","4.94510305910635e-314","ANNISTON CITY","1995","CALHOUN COUNTY","ANNISTON",257,0,257,"STILL OPEN",0,"CITY",0
"682","4.94510305465976e-314","ANNISTON CITY","1995","CALHOUN COUNTY","ANNISTON",888,107,710,"STILL OPEN",0,"CITY",0
"6414","4.96733673845757e-314","CALHOUN COUNTY","1995","CALHOUN COUNTY","JACKSONVILLE",1027,1026,0,"STILL OPEN",0,"COUNTY",0
"6415","4.9673361268043e-314","CALHOUN COUNTY","1995","CALHOUN COUNTY","ANNISTON",678,651,26,"STILL OPEN",0,"COUNTY",0
"6425","4.96733673895164e-314","CALHOUN COUNTY","1995","CALHOUN COUNTY","ANNISTON",923,767,156,"STILL OPEN",0,"COUNTY",0
"6534","4.96733612631024e-314","CALHOUN COUNTY","1995","CALHOUN COUNTY","ANNISTON",735,580,154,"STILL OPEN",0,"COUNTY",0
"6535","4.96733612532211e-314","CALHOUN COUNTY","1995","CALHOUN COUNTY","WEAVER",650,546,63,"STILL OPEN",0,"COUNTY",0
"6556","4.96733612038145e-314","CALHOUN COUNTY","1995","CALHOUN COUNTY","ANNISTON",473,456,14,"STILL OPEN",0,"COUNTY",0
"6564","4.96733686642058e-314","CALHOUN COUNTY","1995","CALHOUN COUNTY","ALEXANDRIA",608,574,29,"STILL OPEN",0,"COUNTY",0
"6598","4.96733612186365e-314","CALHOUN COUNTY","1995","CALHOUN COUNTY","OHATCHEE",938,887,43,"STILL OPEN",0,"COUNTY",0
"6602","4.96733612482804e-314","CALHOUN COUNTY","1995","CALHOUN COUNTY","WEAVER",739,648,74,"STILL OPEN",0,"COUNTY",0
"6680","4.96733612285178e-314","CALHOUN COUNTY","1995","CALHOUN COUNTY","ANNISTON",687,535,114,"STILL OPEN",0,"COUNTY",0
"6681","4.96733612334584e-314","CALHOUN COUNTY","1995","CALHOUN COUNTY","ANNISTON",781,600,148,"STILL OPEN",0,"COUNTY",0
"6682","4.96733612383991e-314","CALHOUN COUNTY","1995","CALHOUN COUNTY","ANNISTON",508,398,95,"STILL OPEN",0,"COUNTY",0
"6717","4.96733611791112e-314","CALHOUN COUNTY","1995","CALHOUN COUNTY","ALEXANDRIA",1102,986,107,"STILL OPEN",0,"COUNTY",0
"18430","5.03255300104512e-314","JACKSONVILLE CITY","1995","CALHOUN COUNTY","JACKSONVILLE",767,587,146,"STILL OPEN",0,"CITY",0
"18432","5.03255300055105e-314","JACKSONVILLE CITY","1995","CALHOUN COUNTY","JACKSONVILLE",883,700,152,"STILL OPEN",0,"CITY",0
"29222","5.0708436123074e-314","OXFORD CITY","1995","CALHOUN COUNTY","HOBSON CITY",543,394,145,"STILL OPEN",0,"CITY",0
"29260","5.0708432872122e-314","OXFORD CITY","1995","CALHOUN COUNTY","OXFORD",1441,1171,249,"STILL OPEN",0,"CITY",0
"29261","5.07084328770627e-314","OXFORD CITY","1995","CALHOUN COUNTY","OXFORD",819,625,185,"STILL OPEN",0,"CITY",0
"30290","5.07701912359532e-314","PIEDMONT CITY","1995","CALHOUN COUNTY","PIEDMONT",192,165,26,"STILL OPEN",0,"CITY",0
"30292","5.07701912458345e-314","PIEDMONT CITY","1995","CALHOUN COUNTY","PIEDMONT",350,311,38,"STILL OPEN",0,"CITY",0
"30304","5.07701912408939e-314","PIEDMONT CITY","1995","CALHOUN COUNTY","PIEDMONT",348,294,51,"STILL OPEN",0,"CITY",0
"30320","5.07701947487599e-314","PIEDMONT CITY","1995","CALHOUN COUNTY","PIEDMONT",310,268,41,"STILL OPEN",0,"CITY",0
"6920","4.97030053105473e-314","CHAMBERS COUNTY","1995","CHAMBERS COUNTY","VALLEY",710,424,285,"STILL OPEN",0,"COUNTY",0
"6932","4.9703005300666e-314","CHAMBERS COUNTY","1995","CHAMBERS COUNTY","LAFAYETTE",492,32,460,"STILL OPEN",0,"COUNTY",0
"6961","4.9703005315488e-314","CHAMBERS COUNTY","1995","CHAMBERS COUNTY","VALLEY",426,270,155,"STILL OPEN",0,"COUNTY",0
"7040","4.97030052957253e-314","CHAMBERS COUNTY","1995","CHAMBERS COUNTY","VALLEY",219,160,59,"STILL OPEN",0,"COUNTY",0
"7081","4.97030052759627e-314","CHAMBERS COUNTY","1995","CHAMBERS COUNTY","VALLEY",299,155,144,"STILL OPEN",0,"COUNTY",0
"7108","4.97030052710221e-314","CHAMBERS COUNTY","1995","CHAMBERS COUNTY","LAFAYETTE",432,28,404,"STILL OPEN",0,"COUNTY",0
"7121","4.97030052562001e-314","CHAMBERS COUNTY","1995","CHAMBERS COUNTY","LANETT",378,277,101,"STILL OPEN",0,"COUNTY",0
"7122","4.97030052512594e-314","CHAMBERS COUNTY","1995","CHAMBERS COUNTY","FIVE POINTS",254,59,195,"STILL OPEN",0,"COUNTY",0
"7128","4.97030052413781e-314","CHAMBERS COUNTY","1995","CHAMBERS COUNTY","VALLEY",552,385,165,"STILL OPEN",0,"COUNTY",0
"7137","4.97030052364375e-314","CHAMBERS COUNTY","1995","CHAMBERS COUNTY","LAFAYETTE",381,31,350,"STILL OPEN",0,"COUNTY",0
"20291","5.03848183227299e-314","LANETT CITY","1995","CHAMBERS COUNTY","LANETT",233,87,145,"STILL OPEN",0,"CITY",0
"20328","5.03848221912639e-314","LANETT CITY","1995","CHAMBERS COUNTY","LANETT",671,279,392,"STILL OPEN",0,"CITY",0
"20330","5.03848183128486e-314","LANETT CITY","1995","CHAMBERS COUNTY","LANETT",402,159,242,"STILL OPEN",0,"CITY",0
"20338","5.03848183177892e-314","LANETT CITY","1995","CHAMBERS COUNTY","LANETT",272,104,167,"STILL OPEN",0,"CITY",0
"21161","5.04292843790753e-314","LEE COUNTY","1995","CHAMBERS COUNTY","VALLEY",336,283,49,"2005",1,"COUNTY",0
"21239","5.04292818791031e-314","LEE COUNTY","1995","CHAMBERS COUNTY","VALLEY",414,353,60,"2005",1,"COUNTY",0
"7247","4.97178272996852e-314","CHEROKEE COUNTY","1995","CHEROKEE COUNTY","CENTRE",719,629,87,"2005",1,"COUNTY",0
"7272","4.97178272947445e-314","CHEROKEE COUNTY","1995","CHEROKEE COUNTY","CEDAR BLUFF",582,481,101,"2005",1,"COUNTY",0
"7303","4.97178273046258e-314","CHEROKEE COUNTY","1995","CHEROKEE COUNTY","CENTRE",391,335,53,"2005",1,"COUNTY",0
"7304","4.97178273145071e-314","CHEROKEE COUNTY","1995","CHEROKEE COUNTY","CENTRE",475,402,70,"2005",1,"COUNTY",0
"7305","4.97178273194478e-314","CHEROKEE COUNTY","1995","CHEROKEE COUNTY","GAYLESVILLE",468,466,1,"2005",1,"COUNTY",0
"7321","4.97178273392104e-314","CHEROKEE COUNTY","1995","CHEROKEE COUNTY","SPRING GARDEN",398,394,3,"2005",1,"COUNTY",0
"1593","4.95251405663968e-314","AUTAUGA COUNTY","1995","CHILTON COUNTY","MARBURY",739,662,76,"2005",1,"COUNTY",0
"7549","4.97326492196538e-314","CHILTON COUNTY","1995","CHILTON COUNTY","MAPLESVILLE",575,435,140,"2002",1,"COUNTY",0
"7550","4.97326492443571e-314","CHILTON COUNTY","1995","CHILTON COUNTY","THORSBY",655,604,32,"2002",1,"COUNTY",0
"7573","4.97326491998912e-314","CHILTON COUNTY","1995","CHILTON COUNTY","MAPLESVILLE",548,452,85,"2002",1,"COUNTY",0
"7587","4.97326492048319e-314","CHILTON COUNTY","1995","CHILTON COUNTY","JEMISON",682,597,83,"2002",1,"COUNTY",0
"7592","4.97326493234076e-314","CHILTON COUNTY","1995","CHILTON COUNTY","CLANTON",991,781,203,"2002",1,"COUNTY",0
"7599","4.97326493283483e-314","CHILTON COUNTY","1995","CHILTON COUNTY","CLANTON",739,590,145,"2002",1,"COUNTY",0
"7602","4.97326552768987e-314","CHILTON COUNTY","1995","CHILTON COUNTY","CLANTON",659,528,129,"2002",1,"COUNTY",0
"7607","4.97326493332889e-314","CHILTON COUNTY","1995","CHILTON COUNTY","VERBENA",562,456,106,"2002",1,"COUNTY",0
"7613","4.97326560970476e-314","CHILTON COUNTY","1995","CHILTON COUNTY","JEMISON",846,742,100,"2002",1,"COUNTY",0
"7695","4.97474713076048e-314","CHOCTAW COUNTY","1995","CHOCTAW COUNTY","BUTLER",522,284,238,"STILL OPEN",0,"COUNTY",0
"7696","4.97474713174861e-314","CHOCTAW COUNTY","1995","CHOCTAW COUNTY","BUTLER",567,150,417,"STILL OPEN",0,"COUNTY",0
"7707","4.97474707789546e-314","CHOCTAW COUNTY","1995","CHOCTAW COUNTY","GILBERTOWN",396,182,214,"STILL OPEN",0,"COUNTY",0
"7724","4.97474713224268e-314","CHOCTAW COUNTY","1995","CHOCTAW COUNTY","BUTLER",398,10,388,"STILL OPEN",0,"COUNTY",0
"7797","4.97622933560306e-314","CLARKE COUNTY","1995","CLARKE COUNTY","JACKSON",808,305,501,"1977",1,"COUNTY",0
"7815","4.97622992255304e-314","CLARKE COUNTY","1995","CLARKE COUNTY","JACKSON",676,233,442,"1977",1,"COUNTY",0
"7839","4.97622933609712e-314","CLARKE COUNTY","1995","CLARKE COUNTY","GROVE HILL",421,127,294,"1977",1,"COUNTY",0
"7840","4.97622933510899e-314","CLARKE COUNTY","1995","CLARKE COUNTY","JACKSON",700,255,444,"1977",1,"COUNTY",0
"7893","4.97622933412086e-314","CLARKE COUNTY","1995","CLARKE COUNTY","GROVE HILL",517,189,327,"1977",1,"COUNTY",0
"7919","4.9762293321446e-314","CLARKE COUNTY","1995","CLARKE COUNTY","GROVE HILL",478,147,330,"1977",1,"COUNTY",0
"7921","4.97622933313273e-314","CLARKE COUNTY","1995","CLARKE COUNTY","COFFEEVILLE",195,47,148,"1977",1,"COUNTY",0
"7933","4.97622933263866e-314","CLARKE COUNTY","1995","CLARKE COUNTY","COFFEEVILLE",176,34,142,"1977",1,"COUNTY",0
"34217","5.10369873763994e-314","THOMASVILLE CITY","1995","CLARKE COUNTY","THOMASVILLE",784,473,311,"1977",1,"CITY",0
"34218","5.103698738134e-314","THOMASVILLE CITY","1995","CLARKE COUNTY","THOMASVILLE",848,509,336,"1977",1,"CITY",0
"8044","4.97771153649311e-314","CLAY COUNTY","1995","CLAY COUNTY","LINEVILLE",428,303,123,"STILL OPEN",0,"COUNTY",0
"8085","4.97771153599904e-314","CLAY COUNTY","1995","CLAY COUNTY","LINEVILLE",516,346,167,"STILL OPEN",0,"COUNTY",0
"8106","4.97771153352871e-314","CLAY COUNTY","1995","CLAY COUNTY","ASHLAND",465,352,112,"STILL OPEN",0,"COUNTY",0
"8109","4.97771153550497e-314","CLAY COUNTY","1995","CLAY COUNTY","ASHLAND",375,272,103,"STILL OPEN",0,"COUNTY",0
"8185","4.97919373540689e-314","CLEBURNE COUNTY","1995","CLEBURNE COUNTY","HEFLIN",490,419,65,"STILL OPEN",0,"COUNTY",0
"8204","4.97919373738315e-314","CLEBURNE COUNTY","1995","CLEBURNE COUNTY","RANBURNE",333,333,0,"STILL OPEN",0,"COUNTY",0
"8228","4.97919373590096e-314","CLEBURNE COUNTY","1995","CLEBURNE COUNTY","HEFLIN",808,725,81,"STILL OPEN",0,"COUNTY",0
"8230","4.97919373688909e-314","CLEBURNE COUNTY","1995","CLEBURNE COUNTY","HEFLIN",297,276,19,"STILL OPEN",0,"COUNTY",0
"8256","4.97919373639502e-314","CLEBURNE COUNTY","1995","CLEBURNE COUNTY","FRUITHURST",151,151,0,"STILL OPEN",0,"COUNTY",0
"8276","4.97919443154539e-314","CLEBURNE COUNTY","1995","CLEBURNE COUNTY","RANBURNE",409,406,0,"STILL OPEN",0,"COUNTY",0
"8358","4.98067663935236e-314","COFFEE COUNTY","1995","COFFEE COUNTY","NEW BROCKTON",484,397,79,"2004",1,"COUNTY",0
"8398","4.98067651385968e-314","COFFEE COUNTY","1995","COFFEE COUNTY","NEW BROCKTON",378,300,69,"2004",1,"COUNTY",0
"8408","4.98067593728507e-314","COFFEE COUNTY","1995","COFFEE COUNTY","JACK",657,605,52,"2004",1,"COUNTY",0
"8422","4.98067593530881e-314","COFFEE COUNTY","1995","COFFEE COUNTY","KINSTON",527,510,16,"2004",1,"COUNTY",0
"12038","5.00290895755273e-314","ELBA CITY","1995","COFFEE COUNTY","ELBA",473,294,176,"2004",1,"CITY",0
"12047","5.00290895705866e-314","ELBA CITY","1995","COFFEE COUNTY","ELBA",603,377,222,"2004",1,"CITY",0
"12500","5.00587335735656e-314","ENTERPRISE CITY","1995","COFFEE COUNTY","ENTERPRISE",470,319,140,"2003",1,"CITY",0
"12501","5.00587335785063e-314","ENTERPRISE CITY","1995","COFFEE COUNTY","ENTERPRISE",417,291,111,"2003",1,"CITY",0
"12502","5.00587335834469e-314","ENTERPRISE CITY","1995","COFFEE COUNTY","ENTERPRISE",449,318,102,"2003",1,"CITY",0
"12503","5.00587335883876e-314","ENTERPRISE CITY","1995","COFFEE COUNTY","ENTERPRISE",1169,848,256,"2003",1,"CITY",0
"12504","5.00587335933282e-314","ENTERPRISE CITY","1995","COFFEE COUNTY","ENTERPRISE",393,262,112,"2003",1,"CITY",0
"12505","5.00587335982689e-314","ENTERPRISE CITY","1995","COFFEE COUNTY","ENTERPRISE",546,401,127,"2003",1,"CITY",0
"12506","5.00587336032095e-314","ENTERPRISE CITY","1995","COFFEE COUNTY","ENTERPRISE",556,415,127,"2003",1,"CITY",0
"12547","5.00587336081502e-314","ENTERPRISE CITY","1995","COFFEE COUNTY","ENTERPRISE",481,323,143,"2003",1,"CITY",0
"12591","5.00587336130909e-314","ENTERPRISE CITY","1995","COFFEE COUNTY","ENTERPRISE",505,295,171,"2003",1,"CITY",0
"12592","5.00587397296236e-314","ENTERPRISE CITY","1995","COFFEE COUNTY","ENTERPRISE",321,213,86,"2003",1,"CITY",0
"8451","4.98215813619886e-314","COLBERT COUNTY","1995","COLBERT COUNTY","CHEROKEE",318,261,53,"STILL OPEN",0,"COUNTY",0
"8492","4.98215813669292e-314","COLBERT COUNTY","1995","COLBERT COUNTY","CHEROKEE",261,213,47,"STILL OPEN",0,"COUNTY",0
"8493","4.98215813718699e-314","COLBERT COUNTY","1995","COLBERT COUNTY","CHEROKEE",265,215,46,"STILL OPEN",0,"COUNTY",0
"8525","4.98215813965732e-314","COLBERT COUNTY","1995","COLBERT COUNTY","LEIGHTON",461,288,170,"STILL OPEN",0,"COUNTY",0
"8564","4.98215813866919e-314","COLBERT COUNTY","1995","COLBERT COUNTY","LEIGHTON",368,239,129,"STILL OPEN",0,"COUNTY",0
"8575","4.98215813768106e-314","COLBERT COUNTY","1995","COLBERT COUNTY","LEIGHTON",623,364,252,"STILL OPEN",0,"COUNTY",0
"8576","4.98215813817512e-314","COLBERT COUNTY","1995","COLBERT COUNTY","TUSCUMBIA",488,459,28,"STILL OPEN",0,"COUNTY",0
"8582","4.98215879182397e-314","COLBERT COUNTY","1995","COLBERT COUNTY","TUSCUMBIA",444,426,16,"STILL OPEN",0,"COUNTY",0
"8593","4.98215814113952e-314","COLBERT COUNTY","1995","COLBERT COUNTY","TUSCUMBIA",162,159,3,"STILL OPEN",0,"COUNTY",0
"28803","5.06516152635624e-314","MUSCLE SHOALS CITY","1995","COLBERT COUNTY","MUSCLE SHOALS",335,289,45,"2007",1,"CITY",0
"28804","5.06516189048262e-314","MUSCLE SHOALS CITY","1995","COLBERT COUNTY","MUSCLE SHOALS",191,163,27,"2007",1,"CITY",0
"28816","5.06516152586218e-314","MUSCLE SHOALS CITY","1995","COLBERT COUNTY","MUSCLE SHOALS",636,549,82,"2007",1,"CITY",0
"28825","5.06516152487404e-314","MUSCLE SHOALS CITY","1995","COLBERT COUNTY","MUSCLE SHOALS",364,317,45,"2007",1,"CITY",0
"28830","5.06516152437998e-314","MUSCLE SHOALS CITY","1995","COLBERT COUNTY","MUSCLE SHOALS",702,599,92,"2007",1,"CITY",0
"31724","5.08887623121534e-314","SHEFFIELD CITY","1995","COLBERT COUNTY","SHEFFIELD",277,171,103,"STILL OPEN",0,"CITY",0
"31725","5.08887672725725e-314","SHEFFIELD CITY","1995","COLBERT COUNTY","SHEFFIELD",448,280,158,"STILL OPEN",0,"CITY",0
"31726","5.08887672873945e-314","SHEFFIELD CITY","1995","COLBERT COUNTY","SHEFFIELD",404,238,160,"STILL OPEN",0,"CITY",0
"31763","5.08887672923351e-314","SHEFFIELD CITY","1995","COLBERT COUNTY","SHEFFIELD",479,288,186,"STILL OPEN",0,"CITY",0
"35788","5.10962704417009e-314","TUSCUMBIA CITY","1995","COLBERT COUNTY","TUSCUMBIA",16,9,7,"STILL OPEN",0,"CITY",0
"35789","5.10962755009331e-314","TUSCUMBIA CITY","1995","COLBERT COUNTY","TUSCUMBIA",491,347,140,"STILL OPEN",0,"CITY",0
"35790","5.10962755058738e-314","TUSCUMBIA CITY","1995","COLBERT COUNTY","TUSCUMBIA",357,261,96,"STILL OPEN",0,"CITY",0
"35791","5.10962755108145e-314","TUSCUMBIA CITY","1995","COLBERT COUNTY","TUSCUMBIA",232,161,71,"STILL OPEN",0,"CITY",0
"35792","5.10962755157551e-314","TUSCUMBIA CITY","1995","COLBERT COUNTY","TUSCUMBIA",439,300,139,"STILL OPEN",0,"CITY",0
"8694","4.98364033955924e-314","CONECUH COUNTY","1995","CONECUH COUNTY","CASTLEBERRY",214,110,104,"1979",1,"COUNTY",0
"8699","4.9836403400533e-314","CONECUH COUNTY","1995","CONECUH COUNTY","EVERGREEN",319,55,262,"1979",1,"COUNTY",0
"8715","4.98364034054737e-314","CONECUH COUNTY","1995","CONECUH COUNTY","EVERGREEN",333,112,221,"1979",1,"COUNTY",0
"8716","4.98364034104143e-314","CONECUH COUNTY","1995","CONECUH COUNTY","EVERGREEN",182,37,144,"1979",1,"COUNTY",0
